sl.no,spi,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
374,-0.6,0.24,-0.09,-0.36,-0.45,0,0.31,-0.06
375,-0.44,0.23,-0.02,-0.42,0.06,0.2,0.33,-0.02
376,0.39,0.22,-0.23,-0.2,0.61,0.35,0.33,0.01
377,1.13,0.21,-0.03,-0.19,0.91,0.46,0.32,0.03
378,1.6,0.2,0.1,-0.32,0.96,0.47,0.24,0.03
379,1.59,0.19,0.19,-0.42,0.73,0.38,0.1,0.01
380,1.09,0.18,0.21,-0.26,0.24,0.21,-0.13,-0.02
381,0.5,0.18,0.08,0.13,-0.16,0.01,-0.44,-0.05
382,-0.16,0.19,0.03,0.49,-0.57,-0.15,-0.69,-0.07
383,-0.37,0.19,-0.15,0.63,-0.87,-0.22,-0.85,-0.07
384,-1.16,0.2,0.16,0.47,-0.95,-0.15,-0.86,-0.06
385,-1.16,0.21,-0.22,0.18,-0.87,-0.07,-0.81,-0.02
386,-0.41,0.21,-0.33,0.06,-0.5,0.07,-0.73,0.02
387,-0.34,0.2,0.16,-0.08,0.05,0.23,-0.63,0.06
388,0.45,0.19,-0.18,-0.45,0.62,0.38,-0.54,0.1
389,0.93,0.17,0.04,-0.55,0.99,0.43,-0.48,0.12
390,1.24,0.16,0.09,-0.36,1.11,0.36,-0.45,0.13
391,1.2,0.16,0.14,-0.27,0.89,0.18,-0.44,0.13
392,1.16,0.17,0.03,-0.07,0.43,-0.07,-0.45,0.12
393,0.8,0.18,0.11,0.2,-0.05,-0.26,-0.48,0.1
394,0.41,0.19,0.04,0.3,-0.58,-0.38,-0.5,0.1
395,0.91,0.21,-0.3,0.35,-0.91,-0.44,-0.49,0.12
396,-0.92,0.24,0.71,0.25,-0.96,-0.42,-0.41,0.17
397,-0.65,0.27,-0.5,0.03,-0.82,-0.31,-0.25,0.24
398,-0.56,0.28,-0.13,0.25,-0.48,-0.08,-0.09,0.3
399,-0.21,0.28,-0.07,0.36,-0.04,0.18,0.06,0.35
400,0.14,0.27,-0.02,-0.19,0.31,0.39,0.17,0.37
401,1.01,0.25,-0.18,-0.49,0.56,0.49,0.23,0.37
402,1.29,0.24,0.15,-0.4,0.81,0.44,0.25,0.35
403,1.47,0.23,0.09,-0.4,0.78,0.3,0.23,0.31
404,1,0.22,0.23,-0.27,0.64,0.11,0.18,0.27
405,0.51,0.22,0.07,0.07,0.38,-0.09,0.12,0.23
406,-0.34,0.22,0.12,0.37,-0.17,-0.32,0.07,0.2
407,-0.84,0.23,-0.09,0.54,-0.6,-0.46,0.02,0.18
408,-0.84,0.23,-0.2,0.54,-0.87,-0.49,0.01,0.17
409,-0.84,0.24,-0.05,0.33,-0.91,-0.44,0.04,0.18
410,-0.56,0.23,-0.1,-0.06,-0.57,-0.24,0.09,0.2
411,-0.41,0.22,0.02,-0.35,-0.06,-0.02,0.17,0.22
412,0.39,0.21,-0.21,-0.36,0.48,0.17,0.25,0.25
413,0.92,0.19,0.03,-0.29,0.86,0.29,0.3,0.27
414,1.36,0.18,0.06,-0.32,0.96,0.36,0.31,0.26
415,1.38,0.17,0.15,-0.34,0.76,0.3,0.27,0.22
416,0.99,0.16,0.18,-0.17,0.35,0.2,0.19,0.17
417,0.35,0.17,0.12,0.12,-0.11,0.08,0.11,0.12
418,-0.71,0.18,0.17,0.38,-0.55,-0.08,0.04,0.07
419,-0.92,0.19,-0.25,0.58,-0.85,-0.16,-0.03,0.04
420,-1.02,0.19,-0.12,0.61,-0.96,-0.15,-0.06,0.02
421,-1.16,0.2,0,0.3,-0.83,-0.07,-0.05,0.02
422,-0.92,0.2,-0.13,-0.16,-0.45,0.04,-0.02,0.03
423,-0.65,0.19,-0.05,-0.33,0.08,0.19,0.05,0.03
424,-0.04,0.17,-0.12,-0.3,0.65,0.3,0.1,0.02
425,0.59,0.16,-0.04,-0.32,1,0.35,0.14,0
426,1.03,0.15,0.06,-0.34,1.06,0.31,0.15,-0.04
427,1.19,0.14,0.11,-0.33,0.83,0.17,0.12,-0.11
428,1.04,0.15,0.13,-0.2,0.36,-0.03,0.06,-0.21
429,0.56,0.15,0.14,0.05,-0.1,-0.22,-0.02,-0.32
430,-0.08,0.16,0.08,0.29,-0.53,-0.35,-0.1,-0.41
431,-1.16,0.17,0.16,0.43,-0.85,-0.39,-0.16,-0.45
432,-1.37,0.18,-0.26,0.51,-0.96,-0.34,-0.16,-0.45
433,-0.77,0.18,-0.36,0.53,-0.92,-0.23,-0.15,-0.43
434,-0.77,0.17,0.13,0.22,-0.62,-0.03,-0.08,-0.4
435,-0.65,0.15,0.01,-0.4,-0.12,0.19,0.01,-0.36
436,0.11,0.13,-0.23,-0.58,0.42,0.38,0.1,-0.32
437,0.95,0.11,-0.09,-0.27,0.9,0.47,0.16,-0.3
438,1.28,0.09,0.17,-0.26,1.09,0.44,0.2,-0.3
439,1.29,0.08,0.16,-0.42,0.93,0.29,0.19,-0.32
440,0.87,0.08,0.18,-0.24,0.54,0.05,0.16,-0.35
441,0.37,0.08,0.07,0.16,-0.02,-0.17,0.11,-0.37
442,-0.21,0.08,0.03,0.46,-0.54,-0.35,0.04,-0.39
443,-1.37,0.09,0.21,0.52,-0.87,-0.45,-0.01,-0.4
444,-5.86,0.1,1.19,0.32,-1,-0.46,-0.03,-0.4
445,-5.86,0.11,-1.23,0.53,-0.91,-0.35,-0.02,-0.38
446,-0.71,0.11,-2.17,1.55,-0.64,-0.16,0.03,-0.35
447,-0.37,0.1,1.17,0.92,-0.1,0.03,0.12,-0.3
448,0.12,0.08,0.39,-2.13,0.61,0.21,0.21,-0.26
449,0.79,0.05,-0.08,-2.96,1.34,0.3,0.27,-0.23
450,1.22,0.04,0.07,-0.73,2.08,0.25,0.28,-0.23
451,1.28,0.02,0.15,0.49,2.02,0.12,0.25,-0.23
452,0.89,0.01,0.19,0.43,1.07,-0.01,0.18,-0.25
453,0.18,0.01,0.15,0.49,-0.18,-0.17,0.1,-0.26
454,-0.16,0.01,-0.1,0.55,-1.79,-0.31,0.02,-0.28
455,-0.41,0.01,-0.06,0.58,-2.6,-0.3,-0.05,-0.27
456,-0.31,0.01,-0.13,0.45,-2.26,-0.17,-0.1,-0.25
457,-0.77,0,0.16,0.08,-1.57,0.1,-0.12,-0.22
458,-0.65,-0.02,-0.15,-0.17,-0.45,0.54,-0.1,-0.17
459,-0.34,-0.05,-0.12,-0.13,0.47,0.85,-0.04,-0.11
460,-0.04,-0.09,-0.01,-0.07,0.88,0.88,0.05,-0.04
461,0.76,-0.14,-0.17,-0.2,1.13,0.87,0.12,0.02
462,1.28,-0.18,0.05,-0.3,1.12,0.76,0.14,0.06
463,1.52,-0.2,0.12,-0.34,0.92,0.47,0.11,0.06
464,1.24,-0.2,0.2,-0.33,0.58,0.04,0.04,0.03
465,0.6,-0.19,0.17,-0.07,0.19,-0.46,-0.05,0.01
466,-0.26,-0.18,0.11,0.29,-0.2,-1.06,-0.13,-0.01
467,-1.37,-0.16,0.11,0.55,-0.59,-1.36,-0.19,-0.01
468,-0.44,-0.15,-0.67,0.69,-0.81,-1.24,-0.18,0
469,-0.21,-0.14,0.05,0.55,-0.85,-1.05,-0.15,0.02
470,-0.1,-0.14,0.11,-0.14,-0.62,-0.82,-0.08,0.05
471,-0.23,-0.15,0.09,-0.74,-0.11,-0.49,0.03,0.09
472,0.66,-0.16,-0.33,-0.47,0.49,-0.16,0.15,0.11
473,0.87,-0.17,0.14,-0.04,0.95,0.15,0.29,0.13
474,1.34,-0.18,-0.03,-0.12,1,0.42,0.41,0.12
475,1.04,-0.18,0.24,-0.25,0.74,0.46,0.43,0.11
476,0.98,-0.18,-0.01,-0.1,0.25,0.28,0.34,0.09
477,0.23,-0.16,0.21,0.14,-0.27,0.1,0.22,0.06
478,-0.18,-0.14,-0.05,0.32,-0.57,-0.02,0.11,0.04
479,0.62,-0.12,-0.44,0.46,-0.72,-0.11,0.04,0.04
480,0.66,-0.1,0.15,0.37,-0.72,-0.11,-0.01,0.06
481,0.7,-0.09,0.07,-0.16,-0.51,-0.03,-0.01,0.08
482,-1.23,-0.08,0.67,-0.54,-0.21,0.06,0.05,0.12
483,-0.36,-0.08,-0.78,-0.13,0.15,0.2,0.11,0.16
484,0.22,-0.08,-0.16,0.59,0.43,0.36,0.13,0.2
485,0.84,-0.09,0.01,0.42,0.5,0.46,0.12,0.22
486,0.98,-0.09,0.16,-0.48,0.42,0.43,0.08,0.23
487,1.13,-0.09,0.04,-0.72,0.26,0.31,0,0.22
488,0.71,-0.09,0.19,-0.29,0.25,0.09,-0.15,0.2
489,0.48,-0.08,-0.01,0.07,0.21,-0.11,-0.34,0.18
490,-0.17,-0.07,0.13,0.32,0.1,-0.23,-0.56,0.15
