sl.no,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
378,0.94,0.32,-0.14,0.14,0.61,0.12,0.25,0.01
379,1.91,0.31,0.23,-0.35,0.23,0.19,0.21,0
380,1.69,0.31,0.28,-0.76,-0.13,0.25,0.17,0
381,1.21,0.31,-0.22,-0.2,-0.4,0.22,0.13,-0.01
382,-0.2,0.31,-0.03,0.5,-0.51,0.12,0.09,-0.02
383,0.22,0.31,-0.44,0.35,-0.59,0.02,0.05,-0.04
384,0.87,0.31,0.28,-0.18,-0.59,-0.06,0.01,-0.05
385,0.91,0.31,0.34,-0.24,-0.47,-0.06,0,-0.06
386,-0.92,0.3,0.16,0.28,-0.23,-0.01,0,-0.07
387,0.01,0.3,-0.91,0.7,0.16,0.04,0.01,-0.07
388,0.12,0.29,0.49,0.36,0.52,0.08,0.01,-0.08
389,-0.51,0.29,0.29,-0.6,0.74,0.1,-0.01,-0.09
390,1.34,0.28,-0.65,-0.93,0.74,0.12,-0.04,-0.09
391,1.41,0.28,0.63,-0.05,0.46,0.12,-0.08,-0.1
392,1.13,0.28,-0.03,0.57,0.09,0.07,-0.12,-0.11
393,0.84,0.27,-0.28,0.11,-0.31,-0.04,-0.14,-0.12
394,1.15,0.27,-0.13,-0.18,-0.62,-0.19,-0.15,-0.14
395,-0.67,0.27,0.52,-0.11,-0.73,-0.33,-0.15,-0.15
396,0.68,0.27,-0.83,-0.27,-0.68,-0.41,-0.14,-0.17
397,0.71,0.26,0.6,0.05,-0.4,-0.41,-0.11,-0.18
398,-0.51,0.25,0.29,0.57,0.02,-0.34,-0.07,-0.18
399,-0.51,0.25,-0.6,0.37,0.4,-0.22,-0.02,-0.19
400,-0.29,0.24,0.05,0.1,0.65,-0.07,0.02,-0.18
401,0.07,0.23,0.2,-0.11,0.68,0.08,0.04,-0.18
402,0.53,0.23,0.03,-0.62,0.47,0.21,0.04,-0.18
403,1.79,0.22,-0.15,-0.43,0.26,0.31,0.04,-0.17
404,1.25,0.21,0.42,0.35,0.05,0.35,0.03,-0.16
405,1.38,0.21,-0.38,0.3,-0.2,0.32,0.02,-0.16
406,0.35,0.2,0.13,-0.18,-0.37,0.23,0.02,-0.16
407,0.63,0.2,-0.32,-0.22,-0.58,0.12,0.02,-0.16
408,0.64,0.2,0.22,-0.16,-0.7,0.02,0.02,-0.16
409,-0.92,0.19,0.35,0.01,-0.5,-0.05,0.03,-0.15
410,0.36,0.18,-0.79,0.45,-0.15,-0.05,0.05,-0.14
411,-0.39,0.18,0.69,0.6,0.24,0,0.08,-0.12
412,-0.06,0.17,-0.25,0.16,0.6,0.06,0.1,-0.11
413,-0.29,0.16,0.06,-0.37,0.66,0.11,0.09,-0.1
414,1.51,0.16,-0.35,-0.34,0.51,0.15,0.07,-0.08
415,0.96,0.15,0.71,-0.12,0.37,0.15,0.04,-0.07
416,1.48,0.15,-0.44,-0.24,0.15,0.14,0.01,-0.05
417,1.39,0.14,0.03,-0.12,-0.11,0.09,-0.01,-0.04
418,-0.67,0.14,0.33,0.21,-0.32,0,-0.03,-0.03
419,-0.67,0.14,-0.71,0.01,-0.61,-0.14,-0.06,-0.03
420,-0.92,0.13,0.27,-0.16,-0.77,-0.26,-0.06,-0.02
421,0.04,0.13,0.02,0.14,-0.61,-0.29,-0.05,0
422,0.01,0.12,0.34,0.32,-0.27,-0.24,-0.02,0.01
423,-0.51,0.12,-0.06,0.41,0.2,-0.16,0.01,0.03
424,-0.67,0.11,-0.29,0.44,0.65,-0.07,0.04,0.05
425,-0.2,0.11,-0.07,-0.16,0.79,0.01,0.06,0.07
426,0.87,0.1,0.09,-0.9,0.73,0.06,0.05,0.09
427,1.39,0.1,0.25,-0.79,0.5,0.15,0.04,0.1
428,1.21,0.1,0.02,0.02,0.13,0.19,0.03,0.11
429,1.32,0.09,-0.27,0.67,-0.2,0.14,0.02,0.12
430,0.59,0.1,0.13,0.52,-0.54,0.04,0.01,0.13
431,0.55,0.1,-0.19,-0.16,-0.81,-0.07,0.01,0.13
432,0.57,0.1,0.07,-0.44,-0.82,-0.17,0.01,0.13
433,0.59,0.1,0.1,-0.06,-0.54,-0.19,0.02,0.13
434,0.61,0.1,0,0.38,-0.07,-0.15,0.04,0.14
435,-0.39,0.1,0.14,0.43,0.52,-0.11,0.07,0.15
436,-0.92,0.1,-0.27,0.18,0.87,-0.05,0.08,0.15
437,-0.29,0.1,-0.18,-0.19,0.82,0.04,0.08,0.16
438,0.84,0.1,0.21,-0.46,0.52,0.11,0.04,0.16
439,1.86,0.1,0.21,-0.38,0.05,0.16,0,0.16
440,1.29,0.1,0.21,0.05,-0.31,0.19,-0.05,0.16
441,0.79,0.1,-0.38,0.43,-0.47,0.14,-0.08,0.15
442,0.59,0.11,-0.18,0.23,-0.55,0.02,-0.12,0.14
443,-0.92,0.11,0.35,-0.45,-0.55,-0.08,-0.15,0.13
444,0.38,0.12,-0.61,-0.68,-0.51,-0.16,-0.17,0.12
445,0.38,0.12,0.61,-0.01,-0.33,-0.2,-0.17,0.11
446,0.37,0.12,0.03,0.75,-0.02,-0.18,-0.16,0.11
447,-0.92,0.12,0.02,0.77,0.36,-0.12,-0.14,0.1
448,-0.06,0.12,-0.62,0.31,0.64,-0.05,-0.12,0.1
449,-0.39,0.12,0.51,-0.28,0.69,0.02,-0.11,0.09
450,0.26,0.12,-0.14,-0.87,0.6,0.11,-0.12,0.09
451,1.39,0.12,-0.05,-0.67,0.42,0.17,-0.13,0.08
452,1.91,0.13,0.24,0.28,0.24,0.19,-0.14,0.07
453,0.89,0.13,0.16,0.6,0.04,0.17,-0.14,0.06
454,0.01,0.14,-0.4,0.13,-0.29,0.12,-0.13,0.05
455,0.58,0.14,-0.33,-0.17,-0.64,0.03,-0.11,0.03
456,0.22,0.14,0.52,-0.29,-0.9,-0.05,-0.08,0.02
457,-0.92,0.15,0.13,-0.33,-0.83,-0.06,-0.04,0.01
458,-0.51,0.15,-0.53,0.25,-0.38,-0.03,0.01,0
459,-0.67,0.15,0.3,0.88,0.17,0.05,0.06,0
460,-0.51,0.16,0.02,0.43,0.63,0.12,0.11,0
461,-0.12,0.16,-0.06,-0.47,0.74,0.15,0.14,0
462,0.3,0.16,0.03,-0.48,0.53,0.15,0.15,0
463,1.75,0.17,-0.15,-0.08,0.25,0.14,0.15,-0.01
464,1.85,0.17,0.39,-0.15,0.03,0.11,0.14,-0.01
465,1.31,0.18,-0.07,-0.2,-0.11,0.01,0.13,-0.02
466,0.38,0.18,-0.21,0.04,-0.23,-0.15,0.13,-0.03
467,0.5,0.19,-0.27,0.12,-0.42,-0.33,0.12,-0.04
468,0.5,0.2,0.25,-0.03,-0.6,-0.47,0.12,-0.05
469,-0.67,0.2,0.3,-0.08,-0.58,-0.49,0.14,-0.06
470,0.07,0.21,-0.56,0.31,-0.31,-0.42,0.16,-0.06
471,0.01,0.21,0.35,0.72,0.15,-0.3,0.18,-0.06
472,-0.29,0.21,0.09,0.34,0.59,-0.16,0.19,-0.05
473,-0.12,0.22,-0.23,-0.43,0.81,-0.02,0.19,-0.05
474,1.41,0.22,-0.18,-0.52,0.78,0.13,0.17,-0.05
475,0.94,0.22,0.63,-0.24,0.51,0.28,0.15,-0.05
476,1.44,0.23,-0.42,-0.25,0.15,0.4,0.12,-0.05
477,0.84,0.23,0.12,-0.06,-0.21,0.42,0.08,-0.05
478,0.59,0.24,-0.14,0.29,-0.6,0.35,0.05,-0.06
479,-0.92,0.24,0.2,0.07,-0.86,0.24,0.03,-0.07
480,0.18,0.25,-0.6,-0.19,-0.93,0.12,0,-0.07
481,0.15,0.25,0.58,0.15,-0.73,0.06,0,-0.07
482,-0.92,0.25,0.22,0.37,-0.24,0.06,0.01,-0.07
483,-0.14,0.26,-0.65,0.28,0.35,0.06,0.03,-0.06
484,-0.55,0.26,0.41,0.25,0.83,0.05,0.04,-0.05
485,0.3,0.26,-0.21,-0.13,1.01,0.04,0.02,-0.05
486,0.66,0.27,0.18,-0.7,0.9,0.04,-0.01,-0.04
487,1.31,0.27,-0.05,-0.44,0.56,0.05,-0.04,-0.04
488,0.91,0.27,0.16,0.2,0.1,0.06,-0.07,-0.04
489,1.28,0.28,-0.31,0.22,-0.29,0,-0.1,-0.04
490,-0.35,0.28,0.38,-0.01,-0.62,-0.12,-0.13,-0.05
491,-0.07,0.29,-0.57,-0.06,-0.82,-0.24,-0.16,-0.05
492,-0.31,0.29,0.28,-0.05,-0.8,-0.31,-0.17,-0.06
